Alter,Einkommen,Geschlecht,Zeit,KundeNr,Preis
30,39919,0,29,K1814,
41,53430,0,27,K1544,
64,73163,0,32,K1945,
41,36761,0,44,K1825,
35,42684,1,33,K1144,
67,63881,1,27,K1395,
46,68885,0,59,K1405,
63,63083,0,40,K1438,
30,55256,1,31,K1313,
32,44873,0,44,K1241,
66,75200,0,35,K1242,
61,59560,0,37,K1801,
66,90643,1,25,K1590,
68,80553,0,56,K1349,
39,42543,1,30,K1449,
40,33126,0,34,K1958,
44,62175,1,33,K1726,
49,51900,0,40,K1758,
48,59967,1,21,K1991,
36,33884,0,49,K1215,
66,67587,1,37,K1399,
31,38844,1,21,K1552,
61,66782,0,25,K1297,
40,54891,0,46,K1787,
49,59388,0,21,K1643,
62,92892,0,14,K1924,
36,36252,1,46,K1135,
45,54233,1,37,K1778,
64,84876,0,34,K1168,
50,60708,0,44,K1501,
45,54500,0,30,K1982,
31,34101,1,46,K1246,
50,55260,0,46,K1898,
52,71014,1,21,K1340,
34,53036,0,46,K1309,
67,79728,1,22,K1725,
31,26637,1,30,K1128,
38,48808,1,54,K1303,
46,61964,0,57,K1947,
31,27594,0,49,K1844,
68,83333,1,33,K1225,
48,54207,0,45,K1582,
40,65585,0,43,K1942,
37,39421,1,38,K1895,
69,108569,1,47,K1467,
69,91624,1,21,K1191,
43,67392,0,45,K1172,
52,68557,0,27,K1455,
37,51083,0,41,K1315,
51,52205,0,42,K1764,
68,96580,0,30,K1553,
63,80825,1,50,K1925,
63,56999,1,50,K1465,
66,64794,1,35,K1907,
50,75601,0,31,K1385,
35,32469,1,24,K1690,
53,51711,1,37,K1175,
62,75231,1,44,K1404,
39,37428,1,37,K1316,
53,75785,0,49,K1149,
39,30485,1,44,K1513,
60,70853,1,30,K1551,
41,57516,1,39,K1531,
37,66419,1,28,K1273,
45,62279,1,27,K1301,
52,70297,0,51,K1877,
37,65034,1,44,K1177,
36,41668,0,40,K1527,
43,49480,1,23,K1637,
54,56292,1,36,K1696,
67,78307,0,35,K1417,
37,43614,1,34,K1416,
49,76602,1,19,K1994,
42,58051,0,25,K1940,
46,51857,1,44,K1938,
68,79291,0,36,K1710,
70,76105,0,25,K1872,
58,68691,1,37,K1644,
43,48849,0,36,K1462,
65,92223,1,41,K1359,
69,85613,1,28,K1371,
47,53430,1,30,K1171,
41,34560,0,34,K1424,
38,46846,0,46,K1883,
44,53482,1,33,K1279,
35,29395,1,28,K1598,
40,68282,1,15,K1320,
45,66573,0,52,K1414,
39,44825,0,45,K1927,
38,40638,1,46,K1355,
61,75680,1,42,K1270,
37,39528,1,19,K1646,
32,44270,1,45,K1730,
70,74005,0,42,K1493,
34,43060,1,32,K1181,
60,71786,1,36,K1386,
48,60260,0,30,K1817,
37,45165,1,36,K1443,
68,98083,1,22,K1432,
44,43990,1,35,K1426,
48,54965,1,30,K1650,
53,53797,1,24,K1695,
61,75646,1,45,K1396,
67,85750,0,41,K1570,
49,49362,0,36,K1919,
40,39581,1,5,K1547,
53,72005,0,27,K1775,
50,64799,1,35,K1567,
54,73773,1,23,K1391,
49,51990,1,29,K1314,
40,62840,0,35,K1774,
30,46686,1,36,K1332,
35,42664,0,34,K1954,
65,78027,1,12,K1617,
54,54771,0,26,K1632,
61,79526,1,62,K1981,
36,32281,1,52,K1201,
32,31010,0,42,K1397,
68,78362,0,21,K1428,
51,56457,0,28,K1841,
68,74860,0,20,K1634,
54,68635,0,29,K1323,
61,61246,0,45,K1380,
63,69114,0,39,K1183,
58,76153,0,25,K1890,
41,39145,1,40,K1709,
45,34526,1,17,K1901,
47,61173,1,37,K1244,
35,40070,1,47,K1683,
47,61411,1,21,K1599,
66,76131,0,42,K1464,
57,52580,1,29,K1170,
31,12031,1,32,K1586,
63,74054,0,43,K1882,
30,47051,1,23,K1704,
57,75169,0,44,K1935,
49,53203,0,44,K1411,
64,74726,1,55,K1336,
37,60309,0,38,K1950,
40,56212,1,39,K1154,
50,46631,1,36,K1757,
49,56491,0,25,K1959,
51,46713,0,34,K1447,
37,37001,1,29,K1699,
34,46611,1,34,K1990,
36,39625,1,55,K1521,
70,97897,1,60,K1318,
43,68343,1,32,K1138,
59,68648,1,32,K1136,
34,42021,0,36,K1773,
66,78363,1,26,K1689,
55,67416,1,31,K1619,
57,75132,0,41,K1793,
52,54277,1,48,K1214,
62,83975,0,33,K1182,
42,60427,1,44,K1716,
67,87075,1,59,K1748,
55,76311,1,41,K1187,
31,38298,1,3,K1623,
33,35653,0,26,K1762,
37,51507,0,34,K1401,
43,58161,1,31,K1612,
30,38642,1,35,K1913,
46,56617,0,31,K1480,
37,38266,1,36,K1110,
41,52447,1,48,K1159,
48,63015,0,50,K1503,
45,44514,1,37,K1562,
33,20924,1,36,K1626,
62,77172,1,36,K1468,
67,68054,0,40,K1202,
46,57346,1,32,K1522,
52,74487,1,41,K1677,
46,54308,1,32,K1957,
48,68669,1,41,K1538,
54,70603,1,13,K1878,
44,46191,1,45,K1130,
63,66297,0,43,K1189,
47,46132,1,38,K1115,
35,55240,0,24,K1436,
66,78220,0,41,K1838,
52,67495,1,25,K1487,
36,48519,1,30,K1809,
33,44999,0,18,K1918,
54,49679,0,24,K1223,
45,51504,1,50,K1641,
40,57367,1,31,K1466,
61,80750,0,24,K1134,
57,63456,0,45,K1160,
52,45802,1,25,K1970,
53,58520,0,20,K1700,
51,56254,0,17,K1344,
68,77479,0,45,K1826,
68,80288,1,19,K1186,
42,37936,0,30,K1364,
57,50221,1,47,K1591,
38,48379,1,43,K1821,
69,98029,1,37,K1905,
66,82388,0,34,K1886,
53,69200,0,25,K1647,
54,59334,0,34,K1431,
46,49472,1,36,K1639,
50,61480,1,44,K1640,
33,54044,0,30,K1588,
50,66940,0,32,K1867,
65,74982,0,27,K1638,
65,62675,1,33,K1818,
65,85235,1,44,K1495,
39,23109,1,39,K1600,
48,55111,1,31,K1587,
64,74797,0,28,K1482,
63,66343,1,53,K1470,
50,58484,1,40,K1517,
66,88621,0,44,K1573,
36,30932,0,43,K1514,
64,70306,1,36,K1112,
53,49633,1,30,K1685,
66,69331,0,32,K1260,
37,51799,0,40,K1985,
38,51013,1,49,K1530,
60,77364,0,34,K1206,
62,69519,0,31,K1304,
40,52774,0,41,K1529,
56,70615,0,15,K1403,
39,43354,0,28,K1989,
68,89005,0,22,K1352,
35,39196,1,26,K1583,
58,74550,0,32,K1410,
65,83198,1,47,K1421,
33,45748,1,55,K1107,
47,79607,1,47,K1510,
47,59352,1,14,K1847,
60,55814,1,27,K1365,
52,66108,1,41,K1472,
69,85175,1,31,K1263,
42,54182,1,26,K1659,
44,52096,1,45,K1934,
55,88482,1,26,K1782,
56,83787,0,27,K1485,
40,38822,0,18,K1731,
56,66000,0,32,K1407,
52,33297,0,18,K1537,
65,68211,1,20,K1627,
37,50176,1,31,K1509,
38,48780,1,18,K1948,
37,41519,1,33,K1460,
36,50243,1,48,K1569,
31,26018,0,32,K1858,
38,44672,0,36,K1317,
44,50981,0,21,K1554,
59,70012,1,39,K1184,
38,29787,1,47,K1253,
33,35350,1,24,K1533,
63,60561,1,38,K1165,
49,58250,1,25,K1765,
47,56933,1,42,K1909,
51,54872,0,40,K1693,
64,85441,0,42,K1870,
60,67965,1,29,K1370,
48,48300,1,28,K1238,
63,86198,0,32,K1813,
54,53806,0,37,K1649,
57,78842,0,24,K1451,
68,86965,0,15,K1926,
47,50383,1,35,K1738,
31,10802,1,25,K1561,
42,54815,0,34,K1605,
57,60410,1,33,K1535,
42,49912,1,26,K1550,
48,51462,1,20,K1755,
64,67482,1,10,K1277,
40,59391,0,37,K1555,
58,71796,1,26,K1419,
64,85476,1,27,K1437,
67,94337,1,27,K1906,
57,52369,1,42,K1195,
63,71786,1,40,K1939,
40,39209,0,43,K1286,
41,50331,0,48,K1686,
33,47738,1,47,K1900,
57,51230,1,28,K1174,
62,64399,0,18,K1236,
67,71626,1,29,K1439,
35,50926,1,35,K1702,
51,66518,1,22,K1240,
69,80266,1,36,K1269,
46,42528,0,44,K1133,
63,75258,0,50,K1888,
44,50005,0,23,K1298,
39,35225,0,48,K1974,
33,24242,1,42,K1820,
42,54485,1,33,K1630,
65,81926,1,48,K1486,
40,51957,1,16,K1245,
36,47469,1,18,K1278,
38,50640,1,28,K1111,
51,55860,1,44,K1823,
66,68505,0,37,K1790,
33,31654,1,31,K1178,
44,54025,1,30,K1987,
47,61371,1,42,K1433,
33,37067,1,47,K1558,
58,62171,1,26,K1250,
67,76785,1,15,K1339,
40,35558,0,31,K1325,
32,20329,1,30,K1475,
30,29694,1,30,K1916,
39,63156,1,41,K1237,
59,71024,0,28,K1799,
51,70533,1,7,K1969,
67,86403,1,29,K1290,
47,67161,1,36,K1146,
31,54066,0,45,K1652,
36,29204,0,27,K1213,
40,59102,0,29,K1708,
69,78816,0,61,K1161,
69,79027,1,24,K1499,
38,66319,0,43,K1811,
51,71227,1,33,K1654,
31,35916,1,34,K1129,
38,44788,1,22,K1456,
65,73604,1,45,K1534,
66,65216,1,13,K1539,
53,58268,0,57,K1156,
66,81322,1,42,K1631,
52,59034,0,22,K1921,
46,54677,0,37,K1674,
44,49839,1,31,K1369,
53,70483,1,18,K1541,
70,86136,0,39,K1718,
41,46277,1,14,K1798,
58,83377,1,25,K1457,
43,38133,0,27,K1123,
43,61618,1,24,K1771,
52,66931,1,26,K1687,
66,82714,0,16,K1188,
40,49390,1,51,K1166,
38,46307,1,33,K1377,
57,84130,1,56,K1390,
61,61255,0,22,K1800,
66,64549,1,26,K1851,
37,37026,0,52,K1117,
37,41986,0,42,K1287,
58,63296,1,17,K1549,
51,67323,0,46,K1657,
55,63084,0,34,K1328,
66,84640,1,34,K1618,
57,81289,0,31,K1733,
35,44388,1,30,K1692,
43,49717,1,46,K1797,
35,41206,0,39,K1628,
62,72706,0,50,K1769,
54,72310,1,35,K1281,
60,74192,1,25,K1946,
31,40364,0,20,K1783,
62,77712,0,29,K1268,
55,66068,1,35,K1353,
69,78275,1,30,K1675,
65,75316,1,43,K1892,
56,58982,1,16,K1179,
38,46195,1,26,K1218,
70,69727,1,35,K1740,
66,79151,1,35,K1606,
40,67881,0,41,K1209,
47,52534,0,50,K1219,
36,41110,1,36,K1473,
67,75807,1,46,K1197,
40,39443,1,48,K1602,
68,64541,0,31,K1194,
47,52745,0,24,K1441,
30,31232,0,52,K1984,
70,83902,0,49,K1922,
45,59679,0,25,K1933,
32,28689,0,41,K1648,
44,59093,1,34,K1653,
47,43409,0,32,K1199,
62,77682,0,28,K1116,
42,34572,0,42,K1536,
66,77908,1,41,K1148,
53,44536,1,36,K1147,
44,48650,1,45,K1434,
46,52041,1,28,K1272,
62,85386,1,35,K1884,
45,39956,1,34,K1642,
55,70713,1,40,K1840,
30,42439,1,49,K1604,
53,55541,1,50,K1283,
56,62958,1,28,K1688,
70,76890,1,37,K1889,
55,67803,1,39,K1698,
32,47052,1,30,K1282,
59,70568,1,43,K1749,
38,31258,0,39,K1815,
38,42954,0,39,K1720,
61,84321,1,44,K1488,
46,60088,1,38,K1362,
46,71444,1,23,K1839,
34,34255,1,34,K1440,
47,50532,1,32,K1656,
63,79754,1,42,K1120,
57,58633,1,32,K1108,
65,62351,0,40,K1516,
53,72003,0,34,K1361,
63,79995,1,23,K1556,
35,33793,1,41,K1578,
61,79736,1,31,K1802,
69,98883,1,29,K1498,
68,92374,0,44,K1327,
70,92238,1,38,K1611,
57,52972,0,47,K1672,
36,47024,1,26,K1525,
41,45176,0,33,K1429,
49,52713,0,43,K1635,
50,43389,1,38,K1114,
69,79689,1,51,K1354,
41,53765,0,21,K1127,
49,57703,1,27,K1461,
65,73776,1,33,K1326,
41,56806,1,32,K1706,
34,34204,1,43,K1871,
59,85332,1,21,K1979,
55,58756,1,34,K1633,
61,81435,1,40,K1445,
39,63688,1,20,K1848,
51,46823,0,41,K1624,
50,67276,1,29,K1308,
45,70632,0,52,K1342,
33,36719,1,35,K1198,
66,75021,1,27,K1835,
63,65737,0,49,K1545,
56,66606,1,15,K1664,
42,42036,1,36,K1389,
64,82889,0,44,K1289,
55,55421,0,29,K1896,
59,59731,0,30,K1592,
63,78072,1,30,K1258,
65,91807,1,45,K1180,
53,65662,1,48,K1761,
36,29607,1,23,K1736,
56,70410,1,39,K1382,
47,63119,0,51,K1173,
42,44380,1,30,K1930,
56,71443,1,31,K1293,
66,66735,0,26,K1376,
30,40283,1,50,K1767,
49,54140,1,29,K1816,
33,36223,0,52,K1341,
68,81230,0,46,K1193,
57,65786,1,43,K1862,
43,59089,0,29,K1222,
39,58806,1,55,K1230,
68,80798,1,43,K1836,
36,38942,0,35,K1394,
36,46373,0,36,K1343,
42,57149,0,35,K1105,
42,52174,0,38,K1986,
42,46178,1,28,K1572,
34,26418,0,45,K1932,
41,55038,1,41,K1500,
62,71314,0,37,K1636,
33,49527,0,25,K1231,
54,53583,0,39,K1383,
39,56179,1,29,K1796,
54,69210,1,40,K1221,
33,28556,1,52,K1333,
32,40946,0,28,K1727,
50,56452,1,37,K1760,
64,66775,1,11,K1703,
51,41344,0,24,K1621,
37,42547,1,45,K1379,
60,59341,1,46,K1423,
36,54638,0,31,K1711,
69,71732,0,26,K1249,
47,41229,1,32,K1739,
42,52868,0,22,K1663,
68,74031,0,41,K1914,
33,44278,0,51,K1850,
54,71794,0,32,K1474,
62,78050,0,49,K1373,
60,80978,1,28,K1728,
45,51056,1,33,K1412,
53,64432,1,41,K1528,
48,62342,0,32,K1415,
51,56363,0,35,K1459,
63,72396,1,48,K1151,
34,26142,0,50,K1454,
67,87205,1,47,K1476,
58,65207,0,27,K1584,
39,48650,1,45,K1681,
58,80403,1,25,K1366,
62,68355,0,35,K1300,
49,54754,1,44,K1995,
53,59447,1,48,K1849,
52,67687,1,47,K1212,
41,43844,0,51,K1971,
50,56874,1,32,K1164,
41,45205,1,26,K1763,
56,66037,0,33,K1368,
58,70703,1,38,K1673,
32,57455,0,42,K1205,
60,78010,0,40,K1548,
54,54716,1,39,K1595,
68,74173,1,41,K1792,
45,56233,1,46,K1904,
63,72230,1,25,K1745,
63,68751,1,39,K1274,
63,81446,0,12,K1284,
52,63037,0,42,K1409,
55,63242,1,35,K1446,
36,49453,1,36,K1162,
30,46530,1,45,K1963,
31,47601,1,29,K1254,
69,78663,1,37,K1229,
68,75303,0,27,K1808,
51,57040,1,38,K1155,
45,44138,1,31,K1458,
49,50246,1,42,K1928,
41,54152,0,15,K1247,
70,71511,0,47,K1575,
32,32659,1,27,K1504,
63,74905,1,35,K1680,
46,53575,0,54,K1425,
32,34848,0,24,K1124,
65,70533,1,38,K1897,
51,53267,1,53,K1812,
35,53193,0,33,K1828,
41,64926,0,39,K1512,
55,65102,0,22,K1662,
53,64075,0,36,K1143,
49,67290,0,30,K1280,
41,35323,1,24,K1350,
59,63141,0,31,K1845,
67,78936,1,34,K1707,
51,76712,1,36,K1873,
44,48523,1,54,K1869,
37,41367,0,31,K1259,
64,68522,1,43,K1392,
42,50054,1,36,K1855,
51,64923,1,39,K1122,
48,57701,1,22,K1232,
38,25073,0,44,K1427,
54,59813,0,39,K1360,
52,55752,1,42,K1875,
31,35492,1,39,K1961,
69,75983,0,47,K1295,
70,57964,1,20,K1220,
37,38361,0,25,K1842,
51,67445,0,38,K1285,
41,40291,1,40,K1406,
45,34928,1,14,K1784,
69,95449,0,35,K1743,
30,44854,0,36,K1754,
60,74006,0,43,K1721,
67,92235,1,29,K1701,
54,81957,0,31,K1622,
31,31912,0,29,K1980,
67,100322,0,50,K1150,
47,56853,1,43,K1912,
35,33579,0,34,K1262,
53,50242,0,32,K1770,
52,58522,0,36,K1276,
35,35620,0,33,K1121,
58,68324,1,35,K1616,
44,64786,1,56,K1153,
32,45043,0,17,K1967,
54,72200,1,33,K1854,
46,61880,0,40,K1620,
70,97121,1,36,K1722,
68,91036,1,40,K1585,
34,55437,0,41,K1388,
70,67947,0,18,K1694,
68,67645,0,51,K1330,
52,71199,1,29,K1131,
34,31569,1,58,K1953,
45,50681,1,41,K1542,
39,42755,1,30,K1949,
60,61876,0,20,K1469,
59,77392,1,44,K1334,
35,31305,1,27,K1142,
66,76359,0,22,K1962,
59,58008,1,35,K1479,
31,41923,1,33,K1574,
33,37291,1,27,K1964,
64,80850,0,36,K1863,
31,24167,1,41,K1756,
46,47676,1,55,K1299,
39,40081,0,53,K1865,
63,84772,1,30,K1973,
30,21238,1,30,K1608,
54,53423,0,36,K1966,
49,55265,1,57,K1846,
65,79612,0,34,K1684,
40,41616,0,48,K1993,
30,54906,0,36,K1267,
67,67953,0,38,K1735,
39,54069,1,42,K1257,
58,68239,1,38,K1789,
39,47801,1,29,K1734,
42,54451,0,17,K1780,
63,72872,1,32,K1216,
69,77933,1,43,K1331,
39,39742,1,37,K1723,
48,46968,1,16,K1208,
62,84204,1,68,K1526,
59,64971,1,29,K1524,
30,25293,1,37,K1691,
48,57289,0,16,K1224,
47,53602,1,33,K1158,
62,70856,1,40,K1256,
45,65988,1,55,K1508,
61,43123,1,46,K1944,
42,41050,1,27,K1312,
53,61112,0,20,K1857,
70,79595,1,51,K1822,
66,76115,0,59,K1113,
38,29634,1,42,K1827,
61,62738,1,27,K1141,
68,94379,1,35,K1557,
42,67920,1,48,K1358,
37,39083,1,33,K1408,
65,77272,1,41,K1772,
50,62488,1,12,K1676,
53,59582,0,31,K1741,
69,64084,0,52,K1819,
57,50717,0,26,K1367,
62,80655,1,35,K1715,
46,49160,0,39,K1402,
53,68336,1,33,K1519,
58,49653,0,38,K1255,
56,72358,1,44,K1810,
44,67182,0,38,K1894,
39,50353,0,41,K1655,
36,48307,1,16,K1593,
31,28227,1,33,K1252,
59,71174,1,49,K1251,
43,59150,0,31,K1941,
30,40098,0,40,K1931,
59,61744,1,27,K1975,
49,64640,1,38,K1453,
48,57581,0,57,K1568,
61,71947,1,33,K1430,
37,57751,1,24,K1291,
56,59483,0,53,K1228,
68,82507,1,24,K1864,
65,77623,0,41,K1713,
35,55165,0,16,K1248,
60,70843,0,33,K1956,
58,68875,1,36,K1302,
60,68566,1,20,K1714,
42,54737,0,37,K1384,
68,84266,1,43,K1398,
47,68475,0,50,K1505,
45,47805,0,36,K1227,
68,68468,0,43,K1288,
50,61399,0,16,K1307,
62,80040,0,36,K1543,
36,62517,0,35,K1351,
54,65103,0,37,K1520,
65,72026,0,26,K1893,
50,38912,1,34,K1234,
31,39505,1,15,K1742,
35,33126,1,23,K1507,
57,60794,0,32,K1899,
58,58019,1,42,K1794,
50,54638,1,45,K1915,
54,69123,0,56,K1324,
55,69613,1,46,K1746,
44,49444,1,27,K1917,
42,50762,1,14,K1777,
39,41453,0,40,K1920,
35,51809,1,49,K1729,
38,56413,0,43,K1960,
67,71829,1,23,K1785,
67,64683,0,22,K1491,
38,60883,1,41,K1968,
56,82205,0,43,K1614,
44,47045,1,38,K1372,
48,84746,1,36,K1837,
36,43538,1,26,K1546,
57,72995,1,43,K1601,
48,70707,1,35,K1217,
42,48260,0,41,K1337,
56,76155,1,29,K1879,
40,26846,1,41,K1712,
60,76138,0,36,K1776,
63,66691,1,52,K1478,
35,35044,1,47,K1977,
47,55621,0,35,K1856,
60,67687,1,33,K1338,
68,70848,1,33,K1911,
53,79245,1,31,K1781,
55,58431,1,46,K1422,
63,74594,0,28,K1753,
30,44635,0,32,K1515,
41,49170,1,36,K1903,
68,78649,0,37,K1463,
31,43375,1,38,K1363,
44,68126,0,24,K1732,
44,55445,0,45,K1737,
66,79203,1,37,K1387,
39,59913,0,29,K1481,
39,51488,0,14,K1489,
43,53219,1,40,K1329,
50,50945,0,45,K1951,
45,52765,0,42,K1833,
53,53443,1,39,K1577,
35,31856,1,56,K1452,
47,49585,1,42,K1610,
49,63443,1,32,K1744,
41,49634,1,65,K1983,
30,31802,1,38,K1929,
58,52544,1,16,K1908,
31,34124,1,33,K1724,
30,58746,1,32,K1866,
34,50643,0,29,K1750,
62,63231,1,35,K1859,
34,45507,1,39,K1661,
59,85251,1,26,K1955,
39,50013,1,31,K1682,
36,43526,1,46,K1190,
62,59572,1,18,K1347,
55,62382,1,41,K1803,
48,59163,0,41,K1264,
50,73917,1,52,K1629,
46,63048,1,31,K1140,
57,54319,1,53,K1645,
38,45342,1,40,K1275,
52,68579,0,24,K1759,
43,60901,0,52,K1891,
48,65433,0,36,K1860,
57,64092,1,36,K1943,
54,74220,1,45,K1200,
59,56608,1,49,K1668,
58,78517,1,24,K1345,
40,49709,1,20,K1679,
32,36992,1,26,K1795,
66,67550,1,18,K1565,
56,66602,1,55,K1658,
35,48822,0,21,K1885,
35,50251,0,39,K1311,
46,44087,1,32,K1497,
69,84659,0,32,K1502,
38,46151,1,18,K1861,
39,56023,1,59,K1322,
43,53592,0,31,K1109,
36,46292,1,42,K1747,
51,53493,0,57,K1902,
47,63291,1,46,K1717,
62,74418,0,30,K1843,
62,80098,1,37,K1651,
36,22706,0,35,K1830,
64,80694,0,20,K1788,
57,69354,1,51,K1203,
34,37661,1,28,K1832,
49,70657,0,47,K1678,
68,82209,0,36,K1511,
49,67813,0,44,K1607,
69,69862,1,44,K1152,
57,68849,0,30,K1137,
58,64187,0,42,K1305,
59,63241,1,33,K1239,
58,81205,1,46,K1132,
42,48307,1,41,K1952,
41,51201,1,28,K1335,
38,60020,0,25,K1594,
49,51392,0,40,K1483,
68,75570,1,35,K1393,
58,74947,0,47,K1523,
53,65983,0,48,K1779,
66,80806,1,22,K1496,
44,60135,1,50,K1697,
62,70449,0,24,K1603,
70,87311,0,46,K1243,
51,43966,1,51,K1167,
40,50404,1,39,K1576,
30,37308,0,30,K1752,
57,77750,0,25,K1233,
39,45047,0,28,K1972,
34,33066,0,34,K1625,
58,57893,1,38,K1169,
60,63515,1,44,K1119,
62,77583,0,18,K1261,
56,41843,0,40,K1145,
30,40182,0,32,K1597,
47,58432,0,22,K1484,
66,77161,0,15,K1292,
38,47188,0,41,K1868,
41,49550,0,31,K1321,
30,30096,0,8,K1157,
45,48971,0,55,K1442,
42,35264,1,42,K1853,
47,51429,0,24,K1824,
48,73148,1,40,K1829,
51,69768,0,32,K1400,
46,66328,1,20,K1806,
70,66260,0,43,K1356,
45,50109,0,25,K1831,
